"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.735235708E0,-1.868755504E-1,4.015499336E-1,-2.762646405E-1,5.220028468E-1
2.745291708E0,-4.147011986E-1,3.155309594E-1,-3.374855731E-1,6.208328136E-1
2.755348708E0,-7.670807263E-1,1.716754210E-1,-3.317698467E-1,8.532036815E-1
2.765405708E0,-1.050257287E0,-1.544249654E-2,-2.257574149E-1,1.074358064E0
2.775461708E0,-1.240246772E0,-1.230844742E-1,-1.297964931E-2,1.246406962E0
2.785518708E0,-1.292271497E0,-1.395636821E-1,2.160422661E-1,1.317618269E0
2.795575708E0,-8.146489951E-1,1.763853532E-1,3.338228041E-1,8.978877673E-1
2.805632708E0,-1.214161174E0,2.661886454E-2,7.024353719E-1,1.402965207E0
2.815688708E0,-1.213141420E0,-1.275979400E-2,9.130572691E-1,1.518403271E0
2.825745708E0,-7.936227000E-1,2.866597474E-1,1.002151952E0,1.310083713E0
2.835802708E0,-4.470868796E-1,6.326529461E-1,9.341008866E-1,1.213540644E0
2.845859708E0,-9.771545202E-2,1.006292365E0,6.672269475E-1,1.211348188E0
2.855915708E0,-6.979835942E-1,7.382852358E-1,5.878129151E-1,1.173784567E0
2.865972708E0,-9.560302842E-1,5.777230328E-1,4.423002758E-1,1.201410563E0
2.876029708E0,-9.889322743E-1,5.913072842E-1,1.763567749E-1,1.165647056E0
2.886086708E0,-5.740088814E-1,9.120416808E-1,-1.661989919E-1,1.090379901E0
2.896142708E0,-8.301286215E-1,8.468592596E-1,-2.601999271E-1,1.214079131E0
2.906199708E0,-1.114839492E0,6.697307253E-1,-1.072584734E-1,1.304956213E0
2.916256708E0,-8.975341541E-1,1.087179238E0,9.811043143E-3,1.409830667E0
2.926312708E0,-5.805972317E-1,9.993680924E-1,3.741522930E-1,1.214833185E0
2.936369708E0,-2.563004190E-1,1.076566542E0,6.681140433E-1,1.292695555E0
2.946426708E0,-1.711357230E-1,1.089469593E0,6.222063106E-1,1.266243311E0
2.956483708E0,-1.555660495E-1,8.958823156E-1,6.073865426E-1,1.093491807E0
2.966539708E0,-1.986766934E-1,6.549056947E-1,6.981072628E-1,9.776132405E-1
